File Name: 01_Sample14_device3_Itsweep_150kV_100uA_VDrain1V_VGateUpTo30V.dat
File Data: 15/11/2023	13:23:15
Start V: 0
Step V: 0
Stop V: 0
Range V: 20
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	5.3409E-11	-5.0000E+1	-4.3565E-10
1.0000E+3	1.0000E+0	1.2851E-11	-5.0000E+1	-1.1027E-10
1.5000E+3	1.0000E+0	8.3661E-12	-5.0000E+1	-8.8395E-11
2.0000E+3	1.0000E+0	6.9284E-12	-5.0000E+1	-7.8852E-11
2.5000E+3	1.0000E+0	5.8806E-12	-5.0000E+1	-7.3659E-11
3.0000E+3	1.0000E+0	5.4610E-12	-5.0000E+1	-6.9500E-11
3.5000E+3	1.0000E+0	5.2214E-12	-5.0000E+1	-6.7054E-11
4.0000E+3	1.0000E+0	-1.3347E-11	-5.0000E+1	-6.4768E-11
4.5000E+3	1.0000E+0	3.8868E-10	-5.0000E+1	-4.8217E-9
5.0000E+3	1.0000E+0	3.7658E-10	-5.0000E+1	-4.8100E-9
5.5000E+3	1.0000E+0	3.7718E-10	-5.0000E+1	-4.8022E-9
6.0000E+3	1.0000E+0	3.7650E-10	-5.0000E+1	-4.8083E-9
6.5000E+3	1.0000E+0	3.7645E-10	-5.0000E+1	-4.8092E-9
7.0000E+3	1.0000E+0	3.7672E-10	-5.0000E+1	-4.8063E-9
7.5000E+3	1.0000E+0	3.7626E-10	-5.0000E+1	-4.8067E-9
8.0000E+3	1.0000E+0	3.7539E-10	-5.0000E+1	-4.8058E-9
8.5000E+3	1.0000E+0	3.7710E-10	-5.0000E+1	-4.8139E-9
9.0000E+3	1.0000E+0	3.7506E-10	-5.0000E+1	-4.8170E-9
9.5000E+3	1.0000E+0	3.7642E-10	-5.0000E+1	-4.8148E-9
1.0000E+4	1.0000E+0	3.7620E-10	-5.0000E+1	-4.8180E-9
1.0500E+4	1.0000E+0	3.7855E-10	-5.0000E+1	-4.8189E-9
1.1000E+4	1.0000E+0	3.7787E-10	-5.0000E+1	-4.8177E-9
1.1500E+4	1.0000E+0	3.7652E-10	-5.0000E+1	-4.8048E-9
1.2000E+4	1.0000E+0	3.7858E-10	-5.0000E+1	-4.8169E-9
1.2500E+4	1.0000E+0	3.7674E-10	-5.0000E+1	-4.8137E-9
1.3000E+4	1.0000E+0	3.7974E-10	-5.0000E+1	-4.8197E-9
1.3500E+4	1.0000E+0	3.7603E-10	-5.0000E+1	-4.8157E-9
1.4000E+4	1.0000E+0	3.7265E-10	-5.0000E+1	-4.8115E-9
1.4500E+4	1.0000E+0	7.5531E-11	-5.0000E+1	-4.5433E-10
1.5000E+4	1.0000E+0	1.7707E-11	-5.0000E+1	-1.2139E-10
1.5500E+4	1.0000E+0	7.5269E-12	-5.0000E+1	-6.6099E-11
1.6000E+4	1.0000E+0	4.5455E-12	-5.0000E+1	-5.2066E-11
1.6500E+4	1.0000E+0	3.6311E-12	-5.0000E+1	-4.7870E-11
1.7000E+4	1.0000E+0	3.1233E-12	-5.0000E+1	-4.6277E-11
1.7500E+4	1.0000E+0	3.2771E-12	-5.0000E+1	-4.5666E-11
1.8000E+4	1.0000E+0	3.1590E-12	-5.0000E+1	-4.5855E-11
1.8500E+4	1.0000E+0	2.9790E-12	-5.0000E+1	-4.5245E-11
1.9000E+4	1.0000E+0	2.8527E-12	-5.0000E+1	-4.4879E-11
1.9500E+4	1.0000E+0	2.8312E-12	-5.0000E+1	-4.4285E-11
2.0000E+4	1.0000E+0	2.7716E-12	-5.0000E+1	-4.4148E-11
2.0500E+4	1.0000E+0	2.7239E-12	-5.0000E+1	-4.4173E-11
2.1000E+4	1.0000E+0	2.7513E-12	-5.0000E+1	-4.3730E-11
2.1500E+4	1.0000E+0	2.6691E-12	-5.0000E+1	-4.3405E-11
2.2000E+4	1.0000E+0	2.5856E-12	-5.0000E+1	-4.3585E-11
2.2500E+4	1.0000E+0	2.6619E-12	-5.0000E+1	-4.3275E-11
2.3000E+4	1.0000E+0	2.7025E-12	-5.0000E+1	-4.3055E-11
2.3500E+4	1.0000E+0	2.7335E-12	-5.0000E+1	-4.2777E-11
2.4000E+4	1.0000E+0	-1.5640E-12	-5.0000E+1	-4.2529E-11
2.4500E+4	1.0000E+0	3.5760E-10	-5.0000E+1	-4.6262E-9
2.5000E+4	1.0000E+0	3.7347E-10	-5.0000E+1	-4.8023E-9
2.5500E+4	1.0000E+0	3.7281E-10	-5.0000E+1	-4.8063E-9
2.6000E+4	1.0000E+0	3.7360E-10	-5.0000E+1	-4.8057E-9
2.6500E+4	1.0000E+0	3.7191E-10	-5.0000E+1	-4.8120E-9
2.7000E+4	1.0000E+0	3.7178E-10	-5.0000E+1	-4.8026E-9
2.7500E+4	1.0000E+0	3.7405E-10	-5.0000E+1	-4.8058E-9
2.8000E+4	1.0000E+0	3.7398E-10	-5.0000E+1	-4.8141E-9
2.8500E+4	1.0000E+0	3.6964E-10	-5.0000E+1	-4.8044E-9
2.9000E+4	1.0000E+0	3.7194E-10	-5.0000E+1	-4.8033E-9
2.9500E+4	1.0000E+0	3.7390E-10	-5.0000E+1	-4.8028E-9
3.0000E+4	1.0000E+0	3.7289E-10	-5.0000E+1	-4.8033E-9
3.0500E+4	1.0000E+0	3.7524E-10	-5.0000E+1	-4.8002E-9
3.1000E+4	1.0000E+0	3.7413E-10	-5.0000E+1	-4.8175E-9
3.1500E+4	1.0000E+0	3.6822E-10	-5.0000E+1	-4.8172E-9
3.2000E+4	1.0000E+0	3.7233E-10	-5.0000E+1	-4.7969E-9
3.2500E+4	1.0000E+0	3.7408E-10	-5.0000E+1	-4.7984E-9
3.3000E+4	1.0000E+0	3.7069E-10	-5.0000E+1	-4.8014E-9
3.3500E+4	1.0000E+0	3.6005E-10	-5.0000E+1	-4.8039E-9
3.4000E+4	1.0000E+0	3.7399E-10	-5.0000E+1	-4.8055E-9
