File Name: 16_Sample1_device3_It_150kV_VDrain1V_VGate-20V.dat
File Data: 17/11/2023	11:51:21
Start V: 0
Step V: 0
Stop V: 0
Range V: 200
Delay(ms): 0
Auorange: yes
Sweep type: log
Instrument Meter: SM2614
Time(ms)	Vdrain(V)	Idrain(A)	Vgate(V)	Igate(A)
0.0000E+0	1.0000E+0	9.0081E-7	-2.0000E+1	-6.6351E-10
1.0000E+3	1.0000E+0	9.0555E-7	-2.0000E+1	-4.7234E-10
1.5000E+3	1.0000E+0	9.0613E-7	-2.0000E+1	-3.9217E-10
2.0000E+3	1.0000E+0	9.0666E-7	-2.0000E+1	-3.3983E-10
2.5000E+3	1.0000E+0	9.0647E-7	-2.0000E+1	-3.0443E-10
3.0000E+3	1.0000E+0	9.0967E-7	-2.0000E+1	-2.7635E-10
3.5000E+3	1.0000E+0	9.1016E-7	-2.0000E+1	-2.5522E-10
4.0000E+3	1.0000E+0	9.0966E-7	-2.0000E+1	-2.3725E-10
4.5000E+3	1.0000E+0	9.0987E-7	-2.0000E+1	-2.2342E-10
5.0000E+3	1.0000E+0	9.0894E-7	-2.0000E+1	-2.1221E-10
5.5000E+3	1.0000E+0	9.1027E-7	-2.0000E+1	-2.0109E-10
6.0000E+3	1.0000E+0	9.0951E-7	-2.0000E+1	-1.9316E-10
6.5000E+3	1.0000E+0	9.1212E-7	-2.0000E+1	-1.8507E-10
7.0000E+3	1.0000E+0	9.1330E-7	-2.0000E+1	-1.7855E-10
7.5000E+3	1.0000E+0	9.1305E-7	-2.0000E+1	-1.7285E-10
8.0000E+3	1.0000E+0	9.1418E-7	-2.0000E+1	-1.6601E-10
8.5000E+3	1.0000E+0	9.1596E-7	-2.0000E+1	-1.6163E-10
9.0000E+3	1.0000E+0	9.1537E-7	-2.0000E+1	-1.5742E-10
9.5000E+3	1.0000E+0	9.1930E-7	-2.0000E+1	-1.5401E-10
1.0000E+4	1.0000E+0	9.1879E-7	-2.0000E+1	-1.5101E-10
1.0500E+4	1.0000E+0	9.1696E-7	-2.0000E+1	-1.4752E-10
1.1000E+4	1.0000E+0	9.1741E-7	-2.0000E+1	-1.4560E-10
1.1500E+4	1.0000E+0	9.1956E-7	-2.0000E+1	-1.4191E-10
1.2000E+4	1.0000E+0	9.1736E-7	-2.0000E+1	-1.3974E-10
1.2500E+4	1.0000E+0	9.1745E-7	-2.0000E+1	-1.3806E-10
1.3000E+4	1.0000E+0	9.1693E-7	-2.0000E+1	-1.3586E-10
1.3500E+4	1.0000E+0	9.1837E-7	-2.0000E+1	-1.3318E-10
1.4000E+4	1.0000E+0	9.1814E-7	-2.0000E+1	-1.3202E-10
1.4500E+4	1.0000E+0	9.1680E-7	-2.0000E+1	-1.3008E-10
1.5000E+4	1.0000E+0	9.2059E-7	-2.0000E+1	-1.2826E-10
1.5500E+4	1.0000E+0	9.2117E-7	-2.0000E+1	-1.2715E-10
1.6000E+4	1.0000E+0	9.2043E-7	-2.0000E+1	-1.2581E-10
1.6500E+4	1.0000E+0	9.2102E-7	-2.0000E+1	-1.2417E-10
1.7000E+4	1.0000E+0	9.2272E-7	-2.0000E+1	-1.2257E-10
1.7500E+4	1.0000E+0	9.2403E-7	-2.0000E+1	-1.2141E-10
1.8000E+4	1.0000E+0	9.2286E-7	-2.0000E+1	-1.2031E-10
1.8500E+4	1.0000E+0	9.2294E-7	-2.0000E+1	-1.1914E-10
1.9000E+4	1.0000E+0	9.2472E-7	-2.0000E+1	-1.1748E-10
1.9500E+4	1.0000E+0	9.2543E-7	-2.0000E+1	-1.1656E-10
2.0000E+4	1.0000E+0	9.2654E-7	-2.0000E+1	-1.1571E-10
2.0500E+4	1.0000E+0	9.2560E-7	-2.0000E+1	-1.1394E-10
2.1000E+4	1.0000E+0	9.2663E-7	-2.0000E+1	-1.1329E-10
2.1500E+4	1.0000E+0	9.2735E-7	-2.0000E+1	-1.1224E-10
2.2000E+4	1.0000E+0	9.2691E-7	-2.0000E+1	-1.1199E-10
2.2500E+4	1.0000E+0	9.2869E-7	-2.0000E+1	-1.1176E-10
2.3000E+4	1.0000E+0	9.2863E-7	-2.0000E+1	-1.0939E-10
2.3500E+4	1.0000E+0	9.2675E-7	-2.0000E+1	-1.0887E-10
2.4000E+4	1.0000E+0	9.2894E-7	-2.0000E+1	-1.0934E-10
2.4500E+4	1.0000E+0	9.2876E-7	-2.0000E+1	-1.0881E-10
2.5000E+4	1.0000E+0	9.2940E-7	-2.0000E+1	-1.0808E-10
2.5500E+4	1.0000E+0	9.2872E-7	-2.0000E+1	-1.0689E-10
2.6000E+4	1.0000E+0	9.3007E-7	-2.0000E+1	-1.0671E-10
2.6500E+4	1.0000E+0	9.3086E-7	-2.0000E+1	-1.0535E-10
2.7000E+4	1.0000E+0	9.3111E-7	-2.0000E+1	-1.0504E-10
2.7500E+4	1.0000E+0	9.3057E-7	-2.0000E+1	-1.0515E-10
2.8000E+4	1.0000E+0	9.3066E-7	-2.0000E+1	-4.2609E-9
2.8500E+4	1.0000E+0	9.2942E-7	-2.0000E+1	-1.0330E-8
2.9000E+4	1.0000E+0	9.2899E-7	-2.0000E+1	-1.0338E-8
2.9500E+4	1.0000E+0	9.2633E-7	-2.0000E+1	-1.0345E-8
3.0000E+4	1.0000E+0	9.2156E-7	-2.0000E+1	-1.0349E-8
3.0500E+4	1.0000E+0	9.2018E-7	-2.0000E+1	-1.0350E-8
3.1000E+4	1.0000E+0	9.2137E-7	-2.0000E+1	-1.0348E-8
3.1500E+4	1.0000E+0	9.1849E-7	-2.0000E+1	-1.0347E-8
3.2000E+4	1.0000E+0	9.1789E-7	-2.0000E+1	-1.0345E-8
3.2500E+4	1.0000E+0	9.1670E-7	-2.0000E+1	-1.0342E-8
3.3000E+4	1.0000E+0	9.1465E-7	-2.0000E+1	-1.0339E-8
3.3500E+4	1.0000E+0	9.1398E-7	-2.0000E+1	-1.0338E-8
3.4000E+4	1.0000E+0	9.1726E-7	-2.0000E+1	-1.0334E-8
3.4500E+4	1.0000E+0	9.1410E-7	-2.0000E+1	-1.0331E-8
3.5000E+4	1.0000E+0	9.1370E-7	-2.0000E+1	-1.0331E-8
3.5500E+4	1.0000E+0	9.1553E-7	-2.0000E+1	-1.0326E-8
3.6000E+4	1.0000E+0	9.1030E-7	-2.0000E+1	-1.0323E-8
3.6500E+4	1.0000E+0	9.0898E-7	-2.0000E+1	-1.0321E-8
3.7000E+4	1.0000E+0	9.1114E-7	-2.0000E+1	-1.0318E-8
3.7500E+4	1.0000E+0	9.1084E-7	-2.0000E+1	-1.0317E-8
3.8000E+4	1.0000E+0	9.0771E-7	-2.0000E+1	-9.9622E-9
3.8500E+4	1.0000E+0	9.0695E-7	-2.0000E+1	-1.4946E-10
3.9000E+4	1.0000E+0	9.1050E-7	-2.0000E+1	-1.0523E-10
3.9500E+4	1.0000E+0	9.0881E-7	-2.0000E+1	-1.0154E-10
4.0000E+4	1.0000E+0	9.0970E-7	-2.0000E+1	-1.0116E-10
4.0500E+4	1.0000E+0	9.1044E-7	-2.0000E+1	-1.0074E-10
4.1000E+4	1.0000E+0	9.0996E-7	-2.0000E+1	-1.0013E-10
4.1500E+4	1.0000E+0	9.1068E-7	-2.0000E+1	-1.0009E-10
4.2000E+4	1.0000E+0	9.1142E-7	-2.0000E+1	-1.0033E-10
4.2500E+4	1.0000E+0	9.1199E-7	-2.0000E+1	-9.9170E-11
4.3000E+4	1.0000E+0	9.1140E-7	-2.0000E+1	-9.8698E-11
4.3500E+4	1.0000E+0	9.0964E-7	-2.0000E+1	-9.8278E-11
4.4000E+4	1.0000E+0	9.1069E-7	-2.0000E+1	-9.8193E-11
4.4500E+4	1.0000E+0	9.1004E-7	-2.0000E+1	-9.8046E-11
4.5000E+4	1.0000E+0	9.1158E-7	-2.0000E+1	-9.7522E-11
4.5500E+4	1.0000E+0	9.1096E-7	-2.0000E+1	-9.6055E-11
4.6000E+4	1.0000E+0	9.1279E-7	-2.0000E+1	-9.6520E-11
4.6500E+4	1.0000E+0	9.1016E-7	-2.0000E+1	-9.6742E-11
4.7000E+4	1.0000E+0	9.1305E-7	-2.0000E+1	-9.6730E-11
4.7500E+4	1.0000E+0	9.1148E-7	-2.0000E+1	-9.5259E-11
4.8000E+4	1.0000E+0	9.1558E-7	-2.0000E+1	-9.6618E-11
4.8500E+4	1.0000E+0	9.1659E-7	-2.0000E+1	-9.5707E-11
4.9000E+4	1.0000E+0	9.1393E-7	-2.0000E+1	-9.5500E-11
4.9500E+4	1.0000E+0	9.1656E-7	-2.0000E+1	-9.5180E-11
5.0000E+4	1.0000E+0	9.1556E-7	-2.0000E+1	-9.5248E-11
5.0500E+4	1.0000E+0	9.1489E-7	-2.0000E+1	-9.5246E-11
5.1000E+4	1.0000E+0	9.1290E-7	-2.0000E+1	-9.5346E-11
5.1500E+4	1.0000E+0	9.1397E-7	-2.0000E+1	-9.4709E-11
5.2000E+4	1.0000E+0	9.1424E-7	-2.0000E+1	-9.4951E-11
5.2500E+4	1.0000E+0	9.1690E-7	-2.0000E+1	-9.5199E-11
5.3000E+4	1.0000E+0	9.1390E-7	-2.0000E+1	-9.4969E-11
5.3500E+4	1.0000E+0	9.1510E-7	-2.0000E+1	-9.3548E-11
5.4000E+4	1.0000E+0	9.1462E-7	-2.0000E+1	-9.3027E-11
5.4500E+4	1.0000E+0	9.1532E-7	-2.0000E+1	-9.4018E-11
5.5000E+4	1.0000E+0	9.1383E-7	-2.0000E+1	-9.4751E-11
5.5500E+4	1.0000E+0	9.1436E-7	-2.0000E+1	-9.3932E-11
5.6000E+4	1.0000E+0	9.1593E-7	-2.0000E+1	-9.4253E-11
5.6500E+4	1.0000E+0	9.1591E-7	-2.0000E+1	-9.3203E-11
5.7000E+4	1.0000E+0	9.1474E-7	-2.0000E+1	-9.3031E-11
5.7500E+4	1.0000E+0	9.1558E-7	-2.0000E+1	-9.3094E-11
5.8000E+4	1.0000E+0	9.1534E-7	-2.0000E+1	-9.3511E-11
5.8500E+4	1.0000E+0	9.1595E-7	-2.0000E+1	-9.3076E-11
5.9000E+4	1.0000E+0	9.1688E-7	-2.0000E+1	-9.2503E-11
5.9500E+4	1.0000E+0	9.1662E-7	-2.0000E+1	-9.2299E-11
6.0000E+4	1.0000E+0	9.1775E-7	-2.0000E+1	-9.2169E-11
6.0500E+4	1.0000E+0	9.1668E-7	-2.0000E+1	-9.1430E-11
6.1000E+4	1.0000E+0	9.1850E-7	-2.0000E+1	-9.2276E-11
6.1500E+4	1.0000E+0	9.1735E-7	-2.0000E+1	-9.1523E-11
6.2000E+4	1.0000E+0	9.1686E-7	-2.0000E+1	-9.1729E-11
6.2500E+4	1.0000E+0	9.1601E-7	-2.0000E+1	-9.1184E-11
6.3000E+4	1.0000E+0	9.1767E-7	-2.0000E+1	-9.1839E-11
6.3500E+4	1.0000E+0	9.1875E-7	-2.0000E+1	-9.1935E-11
6.4000E+4	1.0000E+0	9.1942E-7	-2.0000E+1	-9.1376E-11
6.4500E+4	1.0000E+0	9.2192E-7	-2.0000E+1	-9.1615E-11
6.5000E+4	1.0000E+0	9.2078E-7	-2.0000E+1	-9.1418E-11
6.5500E+4	1.0000E+0	9.2179E-7	-2.0000E+1	-9.1213E-11
6.6000E+4	1.0000E+0	9.1944E-7	-2.0000E+1	-9.1416E-11
6.6500E+4	1.0000E+0	9.2166E-7	-2.0000E+1	-9.0972E-11
6.7000E+4	1.0000E+0	9.2193E-7	-2.0000E+1	-9.1237E-11
6.7500E+4	1.0000E+0	9.2121E-7	-2.0000E+1	-9.0954E-11
6.8000E+4	1.0000E+0	9.2178E-7	-2.0000E+1	-9.0933E-11
6.8500E+4	1.0000E+0	9.1817E-7	-2.0000E+1	-9.0578E-11
6.9000E+4	1.0000E+0	9.1937E-7	-2.0000E+1	-9.0691E-11
6.9500E+4	1.0000E+0	9.2190E-7	-2.0000E+1	-9.0883E-11
7.0000E+4	1.0000E+0	9.1942E-7	-2.0000E+1	-9.0271E-11
7.0500E+4	1.0000E+0	9.2167E-7	-2.0000E+1	-9.0421E-11
7.1000E+4	1.0000E+0	9.1981E-7	-2.0000E+1	-9.0019E-11
7.1500E+4	1.0000E+0	9.1750E-7	-2.0000E+1	-8.9823E-11
7.2000E+4	1.0000E+0	9.2088E-7	-2.0000E+1	-1.7572E-10
7.2500E+4	1.0000E+0	9.1964E-7	-2.0000E+1	-1.0402E-8
7.3000E+4	1.0000E+0	9.1806E-7	-2.0000E+1	-1.0394E-8
7.3500E+4	1.0000E+0	9.1824E-7	-2.0000E+1	-1.0380E-8
7.4000E+4	1.0000E+0	9.1660E-7	-2.0000E+1	-1.0372E-8
7.4500E+4	1.0000E+0	9.1594E-7	-2.0000E+1	-1.0362E-8
7.5000E+4	1.0000E+0	9.1268E-7	-2.0000E+1	-1.0352E-8
7.5500E+4	1.0000E+0	9.1397E-7	-2.0000E+1	-1.0346E-8
7.6000E+4	1.0000E+0	9.1356E-7	-2.0000E+1	-1.0338E-8
7.6500E+4	1.0000E+0	9.1153E-7	-2.0000E+1	-1.0332E-8
7.7000E+4	1.0000E+0	9.0951E-7	-2.0000E+1	-1.0325E-8
7.7500E+4	1.0000E+0	9.0882E-7	-2.0000E+1	-1.0321E-8
7.8000E+4	1.0000E+0	9.0713E-7	-2.0000E+1	-1.0318E-8
7.8500E+4	1.0000E+0	9.0650E-7	-2.0000E+1	-1.0314E-8
7.9000E+4	1.0000E+0	9.0599E-7	-2.0000E+1	-1.0311E-8
7.9500E+4	1.0000E+0	9.0609E-7	-2.0000E+1	-1.0306E-8
8.0000E+4	1.0000E+0	9.0433E-7	-2.0000E+1	-1.0301E-8
8.0500E+4	1.0000E+0	9.0592E-7	-2.0000E+1	-1.0297E-8
8.1000E+4	1.0000E+0	9.0517E-7	-2.0000E+1	-1.0294E-8
8.1500E+4	1.0000E+0	9.0049E-7	-2.0000E+1	-1.0294E-8
8.2000E+4	1.0000E+0	8.9545E-7	-2.0000E+1	-1.0291E-8
8.2500E+4	1.0000E+0	8.9177E-7	-2.0000E+1	-1.0289E-8
8.3000E+4	1.0000E+0	8.9144E-7	-2.0000E+1	-1.0286E-8
8.3500E+4	1.0000E+0	8.9055E-7	-2.0000E+1	-1.0284E-8
8.4000E+4	1.0000E+0	8.9120E-7	-2.0000E+1	-1.0279E-8
8.4500E+4	1.0000E+0	8.9205E-7	-2.0000E+1	-1.0276E-8
8.5000E+4	1.0000E+0	8.8999E-7	-2.0000E+1	-1.0270E-8
8.5500E+4	1.0000E+0	8.8727E-7	-2.0000E+1	-1.0267E-8
8.6000E+4	1.0000E+0	8.8757E-7	-2.0000E+1	-1.0262E-8
8.6500E+4	1.0000E+0	8.8582E-7	-2.0000E+1	-1.0257E-8
8.7000E+4	1.0000E+0	8.8571E-7	-2.0000E+1	-1.0252E-8
8.7500E+4	1.0000E+0	8.8267E-7	-2.0000E+1	-1.0250E-8
8.8000E+4	1.0000E+0	8.7743E-7	-2.0000E+1	-1.0242E-8
8.8500E+4	1.0000E+0	8.7794E-7	-2.0000E+1	-1.0240E-8
8.9000E+4	1.0000E+0	8.7473E-7	-2.0000E+1	-1.0237E-8
8.9500E+4	1.0000E+0	8.7210E-7	-2.0000E+1	-1.0235E-8
9.0000E+4	1.0000E+0	8.6765E-7	-2.0000E+1	-1.0235E-8
9.0500E+4	1.0000E+0	8.6520E-7	-2.0000E+1	-1.0229E-8
9.1000E+4	1.0000E+0	8.6180E-7	-2.0000E+1	-1.0229E-8
9.1500E+4	1.0000E+0	8.6284E-7	-2.0000E+1	-1.0224E-8
9.2000E+4	1.0000E+0	8.6226E-7	-2.0000E+1	-1.0221E-8
9.2500E+4	1.0000E+0	8.5777E-7	-2.0000E+1	-1.0218E-8
9.3000E+4	1.0000E+0	8.5825E-7	-2.0000E+1	-1.4501E-10
9.3500E+4	1.0000E+0	8.5590E-7	-2.0000E+1	-9.3763E-11
9.4000E+4	1.0000E+0	8.5596E-7	-2.0000E+1	-8.7712E-11
9.4500E+4	1.0000E+0	8.5589E-7	-2.0000E+1	-8.7841E-11
9.5000E+4	1.0000E+0	8.5813E-7	-2.0000E+1	-8.8037E-11
9.5500E+4	1.0000E+0	8.5938E-7	-2.0000E+1	-8.7563E-11
9.6000E+4	1.0000E+0	8.5863E-7	-2.0000E+1	-8.8310E-11
9.6500E+4	1.0000E+0	8.5880E-7	-2.0000E+1	-8.7637E-11
9.7000E+4	1.0000E+0	8.5596E-7	-2.0000E+1	-8.8095E-11
9.7500E+4	1.0000E+0	8.5873E-7	-2.0000E+1	-8.7771E-11
9.8000E+4	1.0000E+0	8.5760E-7	-2.0000E+1	-8.7920E-11
9.8500E+4	1.0000E+0	8.5618E-7	-2.0000E+1	-8.9258E-11
9.9000E+4	1.0000E+0	8.5742E-7	-2.0000E+1	-8.9260E-11
9.9500E+4	1.0000E+0	8.5981E-7	-2.0000E+1	-8.9211E-11
1.0000E+5	1.0000E+0	8.6102E-7	-2.0000E+1	-8.9477E-11
1.0050E+5	1.0000E+0	8.6030E-7	-2.0000E+1	-8.8565E-11
1.0100E+5	1.0000E+0	8.5929E-7	-2.0000E+1	-8.9150E-11
1.0150E+5	1.0000E+0	8.6119E-7	-2.0000E+1	-8.8999E-11
1.0200E+5	1.0000E+0	8.5904E-7	-2.0000E+1	-8.8422E-11
1.0250E+5	1.0000E+0	8.6000E-7	-2.0000E+1	-8.8527E-11
1.0300E+5	1.0000E+0	8.6112E-7	-2.0000E+1	-8.7801E-11
1.0350E+5	1.0000E+0	8.6160E-7	-2.0000E+1	-8.7807E-11
1.0400E+5	1.0000E+0	8.6024E-7	-2.0000E+1	-8.7607E-11
1.0450E+5	1.0000E+0	8.6283E-7	-2.0000E+1	-8.7125E-11
1.0500E+5	1.0000E+0	8.6479E-7	-2.0000E+1	-8.7069E-11
1.0550E+5	1.0000E+0	8.6000E-7	-2.0000E+1	-8.7898E-11
1.0600E+5	1.0000E+0	8.6214E-7	-2.0000E+1	-8.7516E-11
1.0650E+5	1.0000E+0	8.6219E-7	-2.0000E+1	-8.7422E-11
1.0700E+5	1.0000E+0	8.6198E-7	-2.0000E+1	-8.7314E-11
1.0750E+5	1.0000E+0	8.6319E-7	-2.0000E+1	-8.7771E-11
1.0800E+5	1.0000E+0	8.6178E-7	-2.0000E+1	-8.7849E-11
1.0850E+5	1.0000E+0	8.6333E-7	-2.0000E+1	-8.7369E-11
1.0900E+5	1.0000E+0	8.6285E-7	-2.0000E+1	-8.7405E-11
1.0950E+5	1.0000E+0	8.6292E-7	-2.0000E+1	-8.7272E-11
1.1000E+5	1.0000E+0	8.6165E-7	-2.0000E+1	-8.6546E-11
1.1050E+5	1.0000E+0	8.6272E-7	-2.0000E+1	-8.6961E-11
1.1100E+5	1.0000E+0	8.6529E-7	-2.0000E+1	-8.6747E-11
1.1150E+5	1.0000E+0	8.6536E-7	-2.0000E+1	-8.6977E-11
1.1200E+5	1.0000E+0	8.6407E-7	-2.0000E+1	-8.7107E-11
1.1250E+5	1.0000E+0	8.6556E-7	-2.0000E+1	-8.6936E-11
1.1300E+5	1.0000E+0	8.6575E-7	-2.0000E+1	-8.6308E-11
1.1350E+5	1.0000E+0	8.6492E-7	-2.0000E+1	-8.6579E-11
1.1400E+5	1.0000E+0	8.6605E-7	-2.0000E+1	-8.6952E-11
1.1450E+5	1.0000E+0	8.6435E-7	-2.0000E+1	-8.5297E-11
1.1500E+5	1.0000E+0	8.6241E-7	-2.0000E+1	-8.6186E-11
1.1550E+5	1.0000E+0	8.6333E-7	-2.0000E+1	-8.6443E-11
1.1600E+5	1.0000E+0	8.6386E-7	-2.0000E+1	-8.5938E-11
1.1650E+5	1.0000E+0	8.6344E-7	-2.0000E+1	-8.6392E-11
1.1700E+5	1.0000E+0	8.6228E-7	-2.0000E+1	-8.6646E-11
1.1750E+5	1.0000E+0	8.6216E-7	-2.0000E+1	-8.6867E-11
1.1800E+5	1.0000E+0	8.6243E-7	-2.0000E+1	-8.5676E-11
1.1850E+5	1.0000E+0	8.6407E-7	-2.0000E+1	-8.5725E-11
1.1900E+5	1.0000E+0	8.6447E-7	-2.0000E+1	-8.6756E-11
1.1950E+5	1.0000E+0	8.6529E-7	-2.0000E+1	-8.6347E-11
1.2000E+5	1.0000E+0	8.6553E-7	-2.0000E+1	-8.6244E-11
1.2050E+5	1.0000E+0	8.6351E-7	-2.0000E+1	-8.6161E-11
1.2100E+5	1.0000E+0	8.6444E-7	-2.0000E+1	-8.6403E-11
1.2150E+5	1.0000E+0	8.6411E-7	-2.0000E+1	-8.5624E-11
1.2200E+5	1.0000E+0	8.6366E-7	-2.0000E+1	-8.6137E-11
1.2250E+5	1.0000E+0	8.6479E-7	-2.0000E+1	-8.5478E-11
1.2300E+5	1.0000E+0	8.6304E-7	-2.0000E+1	-8.5475E-11
1.2350E+5	1.0000E+0	8.6413E-7	-2.0000E+1	-8.5163E-11
1.2400E+5	1.0000E+0	8.6389E-7	-2.0000E+1	-8.5252E-11
1.2450E+5	1.0000E+0	8.6600E-7	-2.0000E+1	-8.4945E-11
1.2500E+5	1.0000E+0	8.6602E-7	-2.0000E+1	-8.4710E-11
1.2550E+5	1.0000E+0	8.6684E-7	-2.0000E+1	-8.5103E-11
1.2600E+5	1.0000E+0	8.6504E-7	-2.0000E+1	-8.5559E-11
1.2650E+5	1.0000E+0	8.6507E-7	-2.0000E+1	-8.4866E-11
1.2700E+5	1.0000E+0	8.6495E-7	-2.0000E+1	-8.5820E-11
1.2750E+5	1.0000E+0	8.6608E-7	-2.0000E+1	-8.5595E-11
1.2800E+5	1.0000E+0	8.6375E-7	-2.0000E+1	-8.5636E-11
1.2850E+5	1.0000E+0	8.6429E-7	-2.0000E+1	-8.5734E-11
1.2900E+5	1.0000E+0	8.6661E-7	-2.0000E+1	-8.5986E-11
1.2950E+5	1.0000E+0	8.6491E-7	-2.0000E+1	-8.5770E-11
1.3000E+5	1.0000E+0	8.6565E-7	-2.0000E+1	-8.5541E-11
1.3050E+5	1.0000E+0	8.6483E-7	-2.0000E+1	-8.4698E-11
1.3100E+5	1.0000E+0	8.6254E-7	-2.0000E+1	-8.5354E-11
1.3150E+5	1.0000E+0	8.6199E-7	-2.0000E+1	-8.5175E-11
1.3200E+5	1.0000E+0	8.6351E-7	-2.0000E+1	-8.6081E-11
1.3250E+5	1.0000E+0	8.6360E-7	-2.0000E+1	-8.5700E-11
1.3300E+5	1.0000E+0	8.6600E-7	-2.0000E+1	-8.6111E-11
1.3350E+5	1.0000E+0	8.6491E-7	-2.0000E+1	-8.5287E-11
1.3400E+5	1.0000E+0	8.6595E-7	-2.0000E+1	-8.5114E-11
1.3450E+5	1.0000E+0	8.6658E-7	-2.0000E+1	-8.5229E-11
1.3500E+5	1.0000E+0	8.6635E-7	-2.0000E+1	-8.5062E-11
1.3550E+5	1.0000E+0	8.6572E-7	-2.0000E+1	-8.5199E-11
1.3600E+5	1.0000E+0	8.6657E-7	-2.0000E+1	-8.6189E-11
1.3650E+5	1.0000E+0	8.6719E-7	-2.0000E+1	-8.6386E-11
1.3700E+5	1.0000E+0	8.6620E-7	-2.0000E+1	-8.4959E-11
1.3750E+5	1.0000E+0	8.6624E-7	-2.0000E+1	-8.5652E-11
1.3800E+5	1.0000E+0	8.6668E-7	-2.0000E+1	-8.5672E-11
1.3850E+5	1.0000E+0	8.6607E-7	-2.0000E+1	-8.5411E-11
1.3900E+5	1.0000E+0	8.6489E-7	-2.0000E+1	-8.4550E-11
1.3950E+5	1.0000E+0	8.6474E-7	-2.0000E+1	-8.5293E-11
1.4000E+5	1.0000E+0	8.6650E-7	-2.0000E+1	-8.4865E-11
1.4050E+5	1.0000E+0	8.6575E-7	-2.0000E+1	-8.5205E-11
1.4100E+5	1.0000E+0	8.6682E-7	-2.0000E+1	-8.4619E-11
1.4150E+5	1.0000E+0	8.6432E-7	-2.0000E+1	-8.4736E-11
1.4200E+5	1.0000E+0	8.6732E-7	-2.0000E+1	-8.4664E-11
1.4250E+5	1.0000E+0	8.6620E-7	-2.0000E+1	-8.4719E-11
1.4300E+5	1.0000E+0	8.6561E-7	-2.0000E+1	-8.4595E-11
1.4350E+5	1.0000E+0	8.6534E-7	-2.0000E+1	-8.4355E-11
1.4400E+5	1.0000E+0	8.6307E-7	-2.0000E+1	-8.4512E-11
1.4450E+5	1.0000E+0	8.6407E-7	-2.0000E+1	-8.4701E-11
1.4500E+5	1.0000E+0	8.6577E-7	-2.0000E+1	-8.4813E-11
1.4550E+5	1.0000E+0	8.6409E-7	-2.0000E+1	-8.4803E-11
1.4600E+5	1.0000E+0	8.6542E-7	-2.0000E+1	-8.4461E-11
1.4650E+5	1.0000E+0	8.6426E-7	-2.0000E+1	-8.5219E-11
1.4700E+5	1.0000E+0	8.6313E-7	-2.0000E+1	-8.4569E-11
1.4750E+5	1.0000E+0	8.6289E-7	-2.0000E+1	-8.4413E-11
1.4800E+5	1.0000E+0	8.6436E-7	-2.0000E+1	-8.4602E-11
1.4850E+5	1.0000E+0	8.6606E-7	-2.0000E+1	-8.4258E-11
1.4900E+5	1.0000E+0	8.6510E-7	-2.0000E+1	-8.4395E-11
1.4950E+5	1.0000E+0	8.6391E-7	-2.0000E+1	-8.3201E-11
1.5000E+5	1.0000E+0	3.8764E-6	-1.0000E+1	-5.4986E-11
1.5050E+5	1.0000E+0	3.8529E-6	-1.0000E+1	1.8499E-11
1.5100E+5	1.0000E+0	3.8437E-6	-1.0000E+1	1.3878E-11
1.5150E+5	1.0000E+0	3.8306E-6	-1.0000E+1	9.1946E-12
1.5200E+5	1.0000E+0	3.8253E-6	-1.0000E+1	6.2001E-12
1.5250E+5	1.0000E+0	3.8191E-6	-1.0000E+1	4.5693E-12
1.5300E+5	1.0000E+0	3.8101E-6	-1.0000E+1	1.6403E-12
1.5350E+5	1.0000E+0	3.8149E-6	-1.0000E+1	-5.6028E-13
1.5400E+5	1.0000E+0	3.8114E-6	-1.0000E+1	-2.5213E-12
1.5450E+5	1.0000E+0	3.7995E-6	-1.0000E+1	-4.9102E-12
1.5500E+5	1.0000E+0	3.7999E-6	-1.0000E+1	-6.1798E-12
1.5550E+5	1.0000E+0	3.7927E-6	-1.0000E+1	-7.6699E-12
1.5600E+5	1.0000E+0	3.7916E-6	-1.0000E+1	-9.8014E-12
1.5650E+5	1.0000E+0	3.7888E-6	-1.0000E+1	-1.1989E-11
1.5700E+5	1.0000E+0	3.7861E-6	-1.0000E+1	-1.4133E-11
1.5750E+5	1.0000E+0	3.7882E-6	-1.0000E+1	-1.5026E-11
1.5800E+5	1.0000E+0	3.7824E-6	-1.0000E+1	-1.7443E-11
1.5850E+5	1.0000E+0	3.7779E-6	-1.0000E+1	-1.8103E-11
1.5900E+5	1.0000E+0	3.7763E-6	-1.0000E+1	-1.9661E-11
1.5950E+5	1.0000E+0	3.7734E-6	-1.0000E+1	-2.1486E-11
1.6000E+5	1.0000E+0	3.7739E-6	-1.0000E+1	-2.2649E-11
1.6050E+5	1.0000E+0	3.7666E-6	-1.0000E+1	-2.3793E-11
1.6100E+5	1.0000E+0	3.7677E-6	-1.0000E+1	-2.4710E-11
1.6150E+5	1.0000E+0	3.7725E-6	-1.0000E+1	-2.5411E-11
1.6200E+5	1.0000E+0	3.7641E-6	-1.0000E+1	-2.6149E-11
1.6250E+5	1.0000E+0	3.7621E-6	-1.0000E+1	-2.6643E-11
1.6300E+5	1.0000E+0	3.7663E-6	-1.0000E+1	-2.7823E-11
1.6350E+5	1.0000E+0	3.7576E-6	-1.0000E+1	-2.8529E-11
1.6400E+5	1.0000E+0	3.7589E-6	-1.0000E+1	-2.8966E-11
1.6450E+5	1.0000E+0	3.7606E-6	-1.0000E+1	-2.9630E-11
