#scan;iMeasureCycle=1;iMux=0;time=0.146;N=482;LocalTime=31/10/2023 12:19:24
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s)
-60.0001;-2.17E-09;0.30685;0.999999;5.71E-10;0.30685
-59.5;-1.54E-09;0.483791;1;1.66E-10;0.483791
-59.0001;-1.31E-09;0.660381;1;7.65E-11;0.660381
-58.5;-1.17E-09;0.854926;0.999999;4.86E-11;0.854926
-58.0001;-1.09E-09;1.031519;1.000001;4.29E-11;1.031519
-57.5001;-1.35E-09;1.20806;0.999999;3.69E-10;1.20806
-57;-1.07E-09;1.421322;1;1.61E-10;1.421322
-56.5;-8.88E-10;1.597904;0.999999;1.52E-11;1.597904
-56.0001;-8.09E-10;1.774407;0.999999;-2.43E-11;1.774407
-55.5;-7.46E-10;1.951007;1;-5.03E-11;1.951007
-55;-6.81E-10;2.12757;1;-7.65E-11;2.12757
-54.5001;-5.93E-10;2.304152;0.999999;-1.32E-10;2.304152
-54.0001;-5.52E-10;2.48266;1;-1.56E-10;2.48266
-53.5;-5.21E-10;2.659176;0.999999;-1.57E-10;2.659176
-53;-5.16E-10;2.860604;1;-1.35E-10;2.860604
-52.5001;-4.66E-10;3.037206;0.999999;-1.61E-10;3.037206
-52;-4.45E-10;3.213716;0.999998;-1.68E-10;3.213716
-51.5001;-4.31E-10;3.426862;1;-1.59E-10;3.426862
-51;-3.81E-10;3.603458;1;-1.88E-10;3.603458
-50.5;-3.50E-10;3.77991;0.999999;-2.05E-10;3.77991
-50.0001;-2.53E-10;3.956469;1;-2.90E-10;3.956469
-49.5;-1.31E-10;4.133005;0.999999;-3.97E-10;4.133005
-49.0001;-1.86E-11;4.309431;1;-4.88E-10;4.309431
-48.5;1.94E-11;4.488149;1;-5.07E-10;4.488149
-48;9.67E-12;4.664629;1;-4.91E-10;4.664629
-47.5001;3.07E-12;4.841249;0.999999;-4.69E-10;4.841249
-47;-1.37E-12;5.0238;1;-4.51E-10;5.0238
-46.5;2.56E-11;5.200343;1;-4.67E-10;5.200343
-46.0001;-5.28E-11;5.407119;1;-3.80E-10;5.407119
-45.5001;1.16E-11;5.583755;1;-4.25E-10;5.583755
-45;3.33E-11;5.760434;1;-4.33E-10;5.760434
-44.5;4.74E-11;5.937091;0.999999;-4.34E-10;5.937091
-44.0001;5.67E-11;6.113638;0.999999;-4.37E-10;6.113638
-43.5001;6.42E-11;6.290086;1;-4.35E-10;6.290086
-43;8.41E-11;6.468354;1;-4.37E-10;6.468354
-42.5;1.03E-10;6.645017;0.999999;-4.46E-10;6.645017
-42.0001;1.04E-10;6.821429;1;-4.42E-10;6.821429
-41.4999;1.03E-10;6.999972;1;-4.36E-10;6.999972
-41;1.20E-10;7.176555;1;-4.40E-10;7.176555
-40.5001;8.67E-11;7.373557;0.999999;-4.00E-10;7.373557
-40.0001;1.25E-10;7.550277;0.999999;-4.32E-10;7.550277
-39.5001;1.60E-10;7.72655;1;-4.50E-10;7.72655
-39.0001;1.04E-10;7.93541;0.999999;-3.86E-10;7.93541
-38.5;1.59E-10;8.111734;1;-4.33E-10;8.111734
-38;1.82E-10;8.288121;0.999999;-4.46E-10;8.288121
-37.5001;1.87E-10;8.464447;1;-4.45E-10;8.464447
