#scan;iMeasureCycle=1;iMux=0;time=0.145;N=612;LocalTime=21/12/2023 14:31:34;;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;VDrain (V);|IDrain| (A)
9.99999;3.44E-09;0.305042;0;-5.26E-12;0.305042;;;0;5.26E-12
9.99999;3.21E-09;0.426587;-0.5;-5.87E-11;0.426587;;;-0.5;5.873E-11
9.99999;3.14E-09;0.547802;-1;-1.53E-10;0.547802;;;-1;1.5287E-10
9.99999;3.09E-09;0.668984;-1.5;-2.57E-10;0.668984;;;-1.5;2.5714E-10
9.99999;3.06E-09;0.790167;-2;-3.63E-10;0.790167;;;-2;3.6319E-10
9.99999;3.04E-09;0.911358;-2.5;-4.69E-10;0.911358;;;-2.5;4.6852E-10
9.99999;3.02E-09;1.032584;-3;-5.69E-10;1.032584;;;-3;5.6936E-10
9.99999;3.00E-09;1.153831;-3.5;-6.67E-10;1.153831;;;-3.5;6.667E-10
9.99999;2.99E-09;1.275011;-4;-7.57E-10;1.275011;;;-4;7.5652E-10
9.99999;2.98E-09;1.396192;-4.5;-8.37E-10;1.396192;;;-4.5;8.3678E-10
9.99999;2.97E-09;1.517419;-5;-9.08E-10;1.517419;;;-5;9.0833E-10
9.99999;2.95E-09;1.638633;-5.5;-9.71E-10;1.638633;;;-5.5;9.7085E-10
9.99999;2.94E-09;1.759819;-6;-1.02E-09;1.759819;;;-6;1.02489E-09
9.99999;2.93E-09;1.88102;-6.5;-1.07E-09;1.88102;;;-6.5;1.07125E-09
9.99999;2.92E-09;2.002241;-7;-1.11E-09;2.002241;;;-7;1.11178E-09
9.99999;2.92E-09;2.123482;-7.5;-1.15E-09;2.123482;;;-7.5;1.14887E-09
9.99999;2.91E-09;2.244647;-8;-1.18E-09;2.244647;;;-8;1.17714E-09
9.99999;2.91E-09;2.365852;-8.5;-1.20E-09;2.365852;;;-8.5;1.20356E-09
9.99999;2.90E-09;2.487079;-9;-1.22E-09;2.487079;;;-9;1.22479E-09
9.99999;2.89E-09;2.608275;-9.5;-1.25E-09;2.608275;;;-9.5;1.24536E-09
9.99999;2.89E-09;2.729494;-10;-1.27E-09;2.729494;;;-10;1.26686E-09
9.99999;2.88E-09;2.856826;-10.5;-1.28E-09;2.856826;;;-10.5;1.28465E-09
9.99999;2.87E-09;2.978077;-11;-1.30E-09;2.978077;;;-11;1.29978E-09
9.99999;2.88E-09;3.099325;-11.5;-1.31E-09;3.099325;;;-11.5;1.31446E-09
9.99999;2.85E-09;3.220508;-12;-1.33E-09;3.220508;;;-12;1.33013E-09
9.99999;2.86E-09;3.357775;-12.5;-1.35E-09;3.357775;;;-12.5;1.34755E-09
9.99999;2.86E-09;3.479019;-13;-1.36E-09;3.479019;;;-13;1.36032E-09
9.99999;2.86E-09;3.60022;-13.5;-1.37E-09;3.60022;;;-13.5;1.37201E-09
9.99999;2.87E-09;3.721432;-14;-1.39E-09;3.721432;;;-14;1.38537E-09
9.99999;2.85E-09;3.859722;-14.5;-1.40E-09;3.859722;;;-14.5;1.39728E-09
9.99999;2.86E-09;3.980975;-15;-1.41E-09;3.980975;;;-15;1.41083E-09
9.99999;2.86E-09;4.102191;-15.5;-1.42E-09;4.102191;;;-15.5;1.42128E-09
9.99999;2.85E-09;4.223375;-16;-1.43E-09;4.223375;;;-16;1.43433E-09
9.99999;2.84E-09;4.360664;-16.5;-1.45E-09;4.360664;;;-16.5;1.44583E-09
9.99999;2.84E-09;4.481907;-17;-1.46E-09;4.481907;;;-17;1.45596E-09
9.99999;2.84E-09;4.603106;-17.5;-1.47E-09;4.603106;;;-17.5;1.46896E-09
9.99999;2.83E-09;4.724327;-18;-1.48E-09;4.724327;;;-18;1.4794E-09
9.99999;2.83E-09;4.862615;-18.5;-1.49E-09;4.862615;;;-18.5;1.48794E-09
9.99999;2.83E-09;4.983866;-19;-1.50E-09;4.983866;;;-19;1.49857E-09
9.99999;2.83E-09;5.105068;-19.5;-1.51E-09;5.105068;;;-19.5;1.50766E-09
9.99999;2.83E-09;5.226247;-20;-1.52E-09;5.226247;;;-20;1.51915E-09
9.99999;2.82E-09;5.362534;-20.5;-1.53E-09;5.362534;;;-20.5;1.53029E-09
9.99999;2.82E-09;5.48378;-21;-1.54E-09;5.48378;;;-21;1.54233E-09
9.99999;2.82E-09;5.604976;-21.5;-1.55E-09;5.604976;;;-21.5;1.55022E-09
9.99999;2.82E-09;5.72619;-22;-1.56E-09;5.72619;;;-22;1.56056E-09
9.99999;2.82E-09;5.863469;-22.5;-1.57E-09;5.863469;;;-22.5;1.57206E-09
9.99999;2.81E-09;5.984721;-23;-1.58E-09;5.984721;;;-23;1.58362E-09
9.99999;2.80E-09;6.105928;-23.5;-1.59E-09;6.105928;;;-23.5;1.59446E-09
9.99999;2.83E-09;6.22711;-24;-1.61E-09;6.22711;;;-24;1.60504E-09
9.99999;2.80E-09;6.364418;-24.5;-1.62E-09;6.364418;;;-24.5;1.61598E-09
9.99999;2.80E-09;6.485667;-25;-1.63E-09;6.485667;;;-25;1.62648E-09
9.99999;2.80E-09;6.606872;-25;-1.63E-09;6.606872;;;-25;1.62773E-09
9.99999;2.81E-09;6.728077;-24.5001;-1.62E-09;6.728077;;;-24.5001;1.62347E-09
9.99999;2.80E-09;6.865345;-24.0001;-1.62E-09;6.865345;;;-24.0001;1.62029E-09
9.99999;2.79E-09;6.9866;-23.5001;-1.62E-09;6.9866;;;-23.5001;1.61978E-09
